Timestamp,GHI_Wm2,AOD_Dust,Tamb_C,Tcell_C,PlantCapacity_kWp,Pout_kW
01/01/2023 00:00,0.0,0.178,12.42,12.42,300.0,0.0
01/01/2023 01:00,0.0,0.639,13.01,13.01,300.0,0.4
01/01/2023 02:00,0.0,0.37,9.07,9.07,300.0,0.0
01/01/2023 03:00,0.0,0.137,10.31,10.31,300.0,1.31
01/01/2023 04:00,0.0,0.156,8.0,8.0,300.0,0.51
01/01/2023 05:00,0.0,0.141,6.4,6.4,300.0,0.0
01/01/2023 06:00,2.56,0.132,7.25,7.33,300.0,0.09
01/01/2023 07:00,0.0,1.474,6.41,6.41,300.0,3.3
01/01/2023 08:00,0.0,0.363,5.85,5.85,300.0,0.0
01/01/2023 09:00,0.0,0.251,6.92,6.92,300.0,1.42
01/01/2023 10:00,17.59,0.4,6.2,6.75,300.0,7.12
01/01/2023 11:00,15.56,0.21,4.22,4.71,300.0,5.7
01/01/2023 12:00,1.32,0.892,7.15,7.2,300.0,4.21
01/01/2023 13:00,127.79,0.208,6.22,10.21,300.0,38.47
01/01/2023 14:00,212.67,0.221,11.21,17.85,300.0,59.54
01/01/2023 15:00,270.36,0.276,12.86,21.31,300.0,70.79
01/01/2023 16:00,359.54,0.47,14.13,25.37,300.0,85.95
01/01/2023 17:00,373.61,0.144,14.49,26.17,300.0,105.2
01/01/2023 18:00,424.21,0.237,16.0,29.26,300.0,111.12
01/01/2023 19:00,391.79,0.313,12.69,24.93,300.0,99.06
01/01/2023 20:00,0.0,0.136,15.06,15.06,300.0,0.0
01/01/2023 21:00,0.0,0.192,12.93,12.93,300.0,0.37
01/01/2023 22:00,0.0,0.275,14.01,14.01,300.0,0.0
01/01/2023 23:00,0.0,0.37,16.18,16.18,300.0,0.0
01/02/2023 00:00,0.0,0.524,14.4,14.4,300.0,0.0
01/02/2023 01:00,0.0,0.199,12.55,12.55,300.0,1.67
01/02/2023 02:00,0.0,0.37,9.99,9.99,300.0,2.31
01/02/2023 03:00,0.0,0.823,7.47,7.47,300.0,0.16
01/02/2023 04:00,0.0,0.385,8.04,8.04,300.0,3.66
01/02/2023 05:00,0.0,0.325,8.39,8.39,300.0,2.69
01/02/2023 06:00,42.83,0.146,6.54,7.88,300.0,13.72
01/02/2023 07:00,0.0,0.342,3.05,3.05,300.0,0.0
01/02/2023 08:00,0.0,0.133,5.42,5.42,300.0,0.0
01/02/2023 09:00,0.0,0.133,2.56,2.56,300.0,1.12
01/02/2023 10:00,12.32,0.344,7.14,7.52,300.0,3.05
01/02/2023 11:00,22.58,0.137,5.68,6.39,300.0,7.89
01/02/2023 12:00,0.0,0.18,5.92,5.92,300.0,1.24
